"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","G (P)","A (P)","+/- (P)","PPP (P)","SOG (P)","BLK (P)","W (G)","GA (G)","SV (G)","SHO (G)","Image"
"453.p.5425","13","Kucherov","Nikita","TB","Available","","RW","4.8","1.0","$52.5","100%","12","22","5","14","82","10","","","","","https://s.yimg.com/iu/api/res/1.2/j_.0uAtR255xKvX_j9XwlA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/5425.png"
"453.p.7519","14","Makar","Cale","COL","Available","","D","9.0","1.1","$45.0","100%","9","26","0","15","82","41","","","","","https://s.yimg.com/iu/api/res/1.2/HojauYFZ0EVvlSUVKzEdOA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11072023/7519.png"
"453.p.6746","15","Marner","Mitch","TOR","Available","","RW","29.9","3.0","$28.5","100%","10","28","4","15","68","12","","","","","https://s.yimg.com/iu/api/res/1.2/MItPYo5LWinIRUjlx06QIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10242022/6746.png"
"453.p.6752","16","Rantanen","Mikko","COL","Available","","RW","8.2","1.0","$43.5","100%","15","21","-1","13","80","19","","","","","https://s.yimg.com/iu/api/res/1.2/CgCK.ViFce_0P0i3TSZLJg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11072023/6752.png"
"453.p.7516","17","Hischier","Nico","NJ","Available","","C","112.3","9.9","$7.0","100%","15","12","11","11","82","22","","","","","https://s.yimg.com/iu/api/res/1.2/kJ7njdRhP6UINRtGavflsQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10152024/7516.png"
"453.p.6759","18","Connor","Kyle","WPG","Available","","LW","40.6","3.8","$16.0","100%","14","18","8","8","92","12","","","","","https://s.yimg.com/iu/api/res/1.2/4Wsw8FJW1M5KNKPKQKZAxQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/6759.png"
"453.p.8290","19","Boldy","Matt","MIN","Available","","LW,RW","86.9","7.7","$5.5","100%","12","15","8","8","101","18","","","","","https://s.yimg.com/iu/api/res/1.2/jKwQ9jvG0kHwy.T4LpPgeg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/8290.png"
"453.p.4147","20","Quick","Jonathan","NYR","Available","","G","167.4","14.6","$5.0","11%","","","","","","","5","13","190","2","https://s.yimg.com/iu/api/res/1.2/f0DW9x9l.pKK91.vzWHugg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/4147.png"
"453.p.7905","21","Hughes","Quinn","VAN","Available","","D","17.4","2.0","$36.5","100%","6","25","8","13","80","23","","","","","https://s.yimg.com/iu/api/res/1.2/qlz9m3YQA_e5IEWT1e8KqA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10132023/7905.png"
"453.p.8643","22","Stutzle","Tim","OTT","Available","","C,LW","58.7","5.4","$17.5","100%","10","22","5","11","55","21","","","","","https://s.yimg.com/iu/api/res/1.2/7yabIRd0A_dDpHF6lIGmCA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/8643.png"
