"Week","Team 1 ID","Team 1 Name","Team 2 ID","Team 2 Name","Complete","Playoff","Consolation","Team 1 Points","Team 2 Points"
"9","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.8","Los Luchadores del Hielo","True","False","False","401.40","198.10"
"9","453.l.82957.t.3","Hockey???","453.l.82957.t.7","Fighting Forsbergs","True","False","False","190.20","339.40"
"9","453.l.82957.t.5","Micah's Majestic Team","453.l.82957.t.12","Woonsocket Woozles","True","False","False","267.40","303.70"
"9","453.l.82957.t.6","Cameron with the good fur","453.l.82957.t.9","Bardowny Woodpeckers","True","False","False","302.80","297.00"
"9","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.l.82957.t.11","Jim Posac Fan Club","True","False","False","241.50","293.80"
"10","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.8","Los Luchadores del Hielo","True","False","False","307.00","229.30"
"10","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","True","False","False","279.30","302.10"
"10","453.l.82957.t.3","Hockey???","453.l.82957.t.5","Micah's Majestic Team","True","False","False","157.90","281.10"
"10","453.l.82957.t.4","Chiliwack Chunderhounds","453.l.82957.t.9","Bardowny Woodpeckers","True","False","False","240.90","143.50"
"10","453.l.82957.t.6","Cameron with the good fur","453.l.82957.t.7","Fighting Forsbergs","True","False","False","224.60","417.20"
"10","453.l.82957.t.11","Jim Posac Fan Club","453.l.82957.t.12","Woonsocket Woozles","True","False","False","350.00","289.30"
"11","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","True","False","False","327.60","398.60"
"11","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.12","Woonsocket Woozles","True","False","False","340.20","412.50"
"11","453.l.82957.t.3","Hockey???","453.l.82957.t.11","Jim Posac Fan Club","True","False","False","180.80","303.90"
"11","453.l.82957.t.4","Chiliwack Chunderhounds","453.l.82957.t.6","Cameron with the good fur","True","False","False","256.20","279.90"
"11","453.l.82957.t.5","Micah's Majestic Team","453.l.82957.t.7","Fighting Forsbergs","True","False","False","174.30","258.60"
"11","453.l.82957.t.8","Los Luchadores del Hielo","453.l.82957.t.9","Bardowny Woodpeckers","True","False","False","301.30","156.20"
"12","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.12","Woonsocket Woozles","True","False","False","236.90","270.70"
"12","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.3","Hockey???","True","False","False","240.70","194.80"
"12","453.l.82957.t.4","Chiliwack Chunderhounds","453.l.82957.t.7","Fighting Forsbergs","True","False","False","204.10","379.00"
"12","453.l.82957.t.5","Micah's Majestic Team","453.l.82957.t.11","Jim Posac Fan Club","True","False","False","171.10","224.50"
"12","453.l.82957.t.6","Cameron with the good fur","453.l.82957.t.8","Los Luchadores del Hielo","True","False","False","157.50","168.00"
"12","453.l.82957.t.9","Bardowny Woodpeckers","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","True","False","False","224.40","266.80"
"13","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.3","Hockey???","False","False","False","347.40","224.00"
"13","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.5","Micah's Majestic Team","False","False","False","282.00","132.50"
"13","453.l.82957.t.4","Chiliwack Chunderhounds","453.l.82957.t.8","Los Luchadores del Hielo","False","False","False","401.50","208.60"
"13","453.l.82957.t.6","Cameron with the good fur","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","False","False","False","262.70","347.30"
"13","453.l.82957.t.7","Fighting Forsbergs","453.l.82957.t.11","Jim Posac Fan Club","False","False","False","315.30","254.60"
"13","453.l.82957.t.9","Bardowny Woodpeckers","453.l.82957.t.12","Woonsocket Woozles","False","False","False","213.30","291.60"
